Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.0001_scale_;{'-1': {'precision': 0.3888888888888889, 'recall': 0.026515151515151516, 'f1-score': 0.04964539007092199, 'support': 264}, '1': {'precision': 0.5029013539651838, 'recall': 0.959409594095941, 'f1-score': 0.6598984771573604, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.44589512142703636, 'recall': 0.4929623728055462, 'f1-score': 0.35477193361414117, 'support': 535}, 'weighted avg': {'precision': 0.44664099736678786, 'recall': 0.49906542056074765, 'f1-score': 0.35876424352965997, 'support': 535}};{'-1': {'precision': 0.38461538461538464, 'recall': 0.01893939393939394, 'f1-score': 0.036101083032490974, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9704797047970479, 'f1-score': 0.6633039092055485, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.44422340111995284, 'recall': 0.4947095493682209, 'f1-score': 0.3497024961190197, 'support': 535}, 'weighted avg': {'precision': 0.44500331909290985, 'recall': 0.5009345794392523, 'f1-score': 0.3538056921780958, 'support': 535}};{'-1': {'precision': 0.42857142857142855, 'recall': 0.022727272727272728, 'f1-score': 0.04316546762589928, 'support': 264}, '1': {'precision': 0.5047984644913628, 'recall': 0.9704797047970479, 'f1-score': 0.6641414141414141, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.4666849465313957, 'recall': 0.4966034887621603, 'f1-score': 0.3536534408836567, 'support': 535}, 'weighted avg': {'precision': 0.4671836280747971, 'recall': 0.502803738317757, 'f1-score': 0.3577159003468423, 'support': 535}};{'-1': {'precision': 0.38461538461538464, 'recall': 0.01893939393939394, 'f1-score': 0.036101083032490974, 'support': 264}, '1': {'precision': 0.5028790786948176, 'recall': 0.9703703703703703, 'f1-score': 0.6624525916561315, 'support': 270}, 'accuracy': 0.5, 'macro avg': {'precision': 0.4437472316551011, 'recall': 0.4946548821548821, 'f1-score': 0.3492768373443112, 'support': 534}, 'weighted avg': {'precision': 0.4444116344308283, 'recall': 0.5, 'f1-score': 0.352795666044444, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.001_scale_;{'-1': {'precision': 0.4, 'recall': 0.022727272727272728, 'f1-score': 0.043010752688172046, 'support': 264}, '1': {'precision': 0.5038461538461538, 'recall': 0.966789667896679, 'f1-score': 0.6624525916561315, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.4519230769230769, 'recall': 0.49475847031197584, 'f1-score': 0.35273167217215173, 'support': 535}, 'weighted avg': {'precision': 0.4526024442846873, 'recall': 0.5009345794392523, 'f1-score': 0.3567840954177365, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5047801147227533, 'recall': 0.974169741697417, 'f1-score': 0.6649874055415617, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.46072339069471, 'recall': 0.49655456781840546, 'f1-score': 0.35060964479976636, 'support': 535}, 'weighted avg': {'precision': 0.4612998338128339, 'recall': 0.502803738317757, 'f1-score': 0.35472299867863094, 'support': 535}};{'-1': {'precision': 0.5454545454545454, 'recall': 0.022727272727272728, 'f1-score': 0.04363636363636363, 'support': 264}, '1': {'precision': 0.5076335877862596, 'recall': 0.981549815498155, 'f1-score': 0.669182389937107, 'support': 271}, 'accuracy': 0.508411214953271, 'macro avg': {'precision': 0.5265440666204024, 'recall': 0.5021385441127139, 'f1-score': 0.3564093767867353, 'support': 535}, 'weighted avg': {'precision': 0.5262966397945352, 'recall': 0.508411214953271, 'f1-score': 0.3605017339681421, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.005_scale_;{'-1': {'precision': 0.375, 'recall': 0.022727272727272728, 'f1-score': 0.04285714285714286, 'support': 264}, '1': {'precision': 0.5028901734104047, 'recall': 0.9630996309963099, 'f1-score': 0.660759493670886, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.4389450867052023, 'recall': 0.4929134518617913, 'f1-score': 0.35180831826401443, 'support': 535}, 'weighted avg': {'precision': 0.4397817513910648, 'recall': 0.49906542056074765, 'f1-score': 0.3558506700917679, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5047801147227533, 'recall': 0.974169741697417, 'f1-score': 0.6649874055415617, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.46072339069471, 'recall': 0.49655456781840546, 'f1-score': 0.35060964479976636, 'support': 535}, 'weighted avg': {'precision': 0.4612998338128339, 'recall': 0.502803738317757, 'f1-score': 0.35472299867863094, 'support': 535}};{'-1': {'precision': 0.5454545454545454, 'recall': 0.022727272727272728, 'f1-score': 0.04363636363636363, 'support': 264}, '1': {'precision': 0.5076335877862596, 'recall': 0.981549815498155, 'f1-score': 0.669182389937107, 'support': 271}, 'accuracy': 0.508411214953271, 'macro avg': {'precision': 0.5265440666204024, 'recall': 0.5021385441127139, 'f1-score': 0.3564093767867353, 'support': 535}, 'weighted avg': {'precision': 0.5262966397945352, 'recall': 0.508411214953271, 'f1-score': 0.3605017339681421, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.01_scale_;{'-1': {'precision': 0.2857142857142857, 'recall': 0.022727272727272728, 'f1-score': 0.042105263157894736, 'support': 264}, '1': {'precision': 0.4980544747081712, 'recall': 0.9446494464944649, 'f1-score': 0.6522292993630573, 'support': 271}, 'accuracy': 0.4897196261682243, 'macro avg': {'precision': 0.39188438021122846, 'recall': 0.4836883596108688, 'f1-score': 0.347167281260476, 'support': 535}, 'weighted avg': {'precision': 0.3932735216345529, 'recall': 0.4897196261682243, 'f1-score': 0.35115874691789295, 'support': 535}};{'-1': {'precision': 0.46153846153846156, 'recall': 0.022727272727272728, 'f1-score': 0.04332129963898917, 'support': 264}, '1': {'precision': 0.5057471264367817, 'recall': 0.974169741697417, 'f1-score': 0.6658259773013873, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.4836427939876216, 'recall': 0.49844850721234485, 'f1-score': 0.3545736384701882, 'support': 535}, 'weighted avg': {'precision': 0.4839320095523769, 'recall': 0.5046728971962616, 'f1-score': 0.35864609897825994, 'support': 535}};{'-1': {'precision': 0.5454545454545454, 'recall': 0.022727272727272728, 'f1-score': 0.04363636363636363, 'support': 264}, '1': {'precision': 0.5076335877862596, 'recall': 0.981549815498155, 'f1-score': 0.669182389937107, 'support': 271}, 'accuracy': 0.508411214953271, 'macro avg': {'precision': 0.5265440666204024, 'recall': 0.5021385441127139, 'f1-score': 0.3564093767867353, 'support': 535}, 'weighted avg': {'precision': 0.5262966397945352, 'recall': 0.508411214953271, 'f1-score': 0.3605017339681421, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.05_scale_;{'-1': {'precision': 0.3684210526315789, 'recall': 0.05303030303030303, 'f1-score': 0.09271523178807947, 'support': 264}, '1': {'precision': 0.4969818913480885, 'recall': 0.9114391143911439, 'f1-score': 0.6432291666666667, 'support': 271}, 'accuracy': 0.48785046728971965, 'macro avg': {'precision': 0.4327014719898337, 'recall': 0.48223470871072344, 'f1-score': 0.3679721992273731, 'support': 535}, 'weighted avg': {'precision': 0.43354252420573614, 'recall': 0.48785046728971965, 'f1-score': 0.37157369225928905, 'support': 535}};{'-1': {'precision': 0.4074074074074074, 'recall': 0.041666666666666664, 'f1-score': 0.07560137457044673, 'support': 264}, '1': {'precision': 0.5019685039370079, 'recall': 0.940959409594096, 'f1-score': 0.6546854942233633, 'support': 271}, 'accuracy': 0.497196261682243, 'macro avg': {'precision': 0.45468795567220766, 'recall': 0.4913130381303813, 'f1-score': 0.365143434396905, 'support': 535}, 'weighted avg': {'precision': 0.45530657966819565, 'recall': 0.497196261682243, 'f1-score': 0.36893183517968114, 'support': 535}};{'-1': {'precision': 0.4583333333333333, 'recall': 0.041666666666666664, 'f1-score': 0.07638888888888888, 'support': 264}, '1': {'precision': 0.5048923679060665, 'recall': 0.9520295202952029, 'f1-score': 0.659846547314578, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.48161285061969994, 'recall': 0.4968480934809348, 'f1-score': 0.36811771810173344, 'support': 535}, 'weighted avg': {'precision': 0.4819174424346618, 'recall': 0.502803738317757, 'f1-score': 0.3719347308204062, 'support': 535}};{'-1': {'precision': 0.46875, 'recall': 0.056818181818181816, 'f1-score': 0.10135135135135136, 'support': 264}, '1': {'precision': 0.5039840637450199, 'recall': 0.937037037037037, 'f1-score': 0.655440414507772, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.48636703187250996, 'recall': 0.4969276094276094, 'f1-score': 0.37839588292956167, 'support': 534}, 'weighted avg': {'precision': 0.4865649760508528, 'recall': 0.50187265917603, 'f1-score': 0.3815087428349348, 'support': 534}};{'-1': {'precision': 0.55, 'recall': 0.041666666666666664, 'f1-score': 0.07746478873239437, 'support': 264}, '1': {'precision': 0.5077821011673151, 'recall': 0.9666666666666667, 'f1-score': 0.6658163265306122, 'support': 270}, 'accuracy': 0.5093632958801498, 'macro avg': {'precision': 0.5288910505836576, 'recall': 0.5041666666666667, 'f1-score': 0.3716405576315033, 'support': 534}, 'weighted avg': {'precision': 0.5286538713767325, 'recall': 0.5093632958801498, 'f1-score': 0.37494590334947087, 'support': 534}}
OCSVM_RBF_0.1_scale_;{'-1': {'precision': 0.4230769230769231, 'recall': 0.08333333333333333, 'f1-score': 0.13924050632911392, 'support': 264}, '1': {'precision': 0.4989648033126294, 'recall': 0.8892988929889298, 'f1-score': 0.6392572944297081, 'support': 271}, 'accuracy': 0.491588785046729, 'macro avg': {'precision': 0.4610208631947762, 'recall': 0.4863161131611316, 'f1-score': 0.389248900379411, 'support': 535}, 'weighted avg': {'precision': 0.46151732596267336, 'recall': 0.491588785046729, 'f1-score': 0.3925200382454897, 'support': 535}};{'-1': {'precision': 0.4791666666666667, 'recall': 0.08712121212121213, 'f1-score': 0.14743589743589747, 'support': 264}, '1': {'precision': 0.5051334702258727, 'recall': 0.9077490774907749, 'f1-score': 0.6490765171503958, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.49215006844626974, 'recall': 0.49743514480599355, 'f1-score': 0.39825620729314665, 'support': 535}, 'weighted avg': {'precision': 0.4923199447312365, 'recall': 0.502803738317757, 'f1-score': 0.4015379683566994, 'support': 535}};{'-1': {'precision': 0.45901639344262296, 'recall': 0.10606060606060606, 'f1-score': 0.17230769230769233, 'support': 264}, '1': {'precision': 0.5021097046413502, 'recall': 0.8782287822878229, 'f1-score': 0.6389261744966444, 'support': 271}, 'accuracy': 0.497196261682243, 'macro avg': {'precision': 0.48056304904198655, 'recall': 0.49214469417421447, 'f1-score': 0.4056169334021683, 'support': 535}, 'weighted avg': {'precision': 0.480844967900296, 'recall': 0.497196261682243, 'f1-score': 0.4086695776781708, 'support': 535}};{'-1': {'precision': 0.44642857142857145, 'recall': 0.0946969696969697, 'f1-score': 0.15625, 'support': 264}, '1': {'precision': 0.5, 'recall': 0.8851851851851852, 'f1-score': 0.6390374331550802, 'support': 270}, 'accuracy': 0.4943820224719101, 'macro avg': {'precision': 0.4732142857142857, 'recall': 0.48994107744107745, 'f1-score': 0.3976437165775401, 'support': 534}, 'weighted avg': {'precision': 0.4735152487961477, 'recall': 0.4943820224719101, 'f1-score': 0.40035600552784956, 'support': 534}};{'-1': {'precision': 0.475, 'recall': 0.07196969696969698, 'f1-score': 0.125, 'support': 264}, '1': {'precision': 0.5040485829959515, 'recall': 0.9222222222222223, 'f1-score': 0.6518324607329844, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4895242914979757, 'recall': 0.49709595959595965, 'f1-score': 0.3884162303664922, 'support': 534}, 'weighted avg': {'precision': 0.4896874857844698, 'recall': 0.50187265917603, 'f1-score': 0.3913759632919584, 'support': 534}}
OCSVM_RBF_0.2_scale_;{'-1': {'precision': 0.5263157894736842, 'recall': 0.22727272727272727, 'f1-score': 0.31746031746031744, 'support': 264}, '1': {'precision': 0.5154394299287411, 'recall': 0.8007380073800738, 'f1-score': 0.6271676300578035, 'support': 271}, 'accuracy': 0.5177570093457944, 'macro avg': {'precision': 0.5208776097012127, 'recall': 0.5140053673264006, 'f1-score': 0.4723139737590605, 'support': 535}, 'weighted avg': {'precision': 0.5208064559471803, 'recall': 0.5177570093457944, 'f1-score': 0.47434009636483837, 'support': 535}};{'-1': {'precision': 0.5178571428571429, 'recall': 0.2196969696969697, 'f1-score': 0.30851063829787234, 'support': 264}, '1': {'precision': 0.5130023640661938, 'recall': 0.8007380073800738, 'f1-score': 0.6253602305475504, 'support': 271}, 'accuracy': 0.514018691588785, 'macro avg': {'precision': 0.5154297534616683, 'recall': 0.5102174885385218, 'f1-score': 0.46693543442271135, 'support': 535}, 'weighted avg': {'precision': 0.5153979932265873, 'recall': 0.514018691588785, 'f1-score': 0.46900828222247565, 'support': 535}};{'-1': {'precision': 0.5169491525423728, 'recall': 0.23106060606060605, 'f1-score': 0.31937172774869105, 'support': 264}, '1': {'precision': 0.513189448441247, 'recall': 0.7896678966789668, 'f1-score': 0.622093023255814, 'support': 271}, 'accuracy': 0.514018691588785, 'macro avg': {'precision': 0.5150693004918099, 'recall': 0.5103642513697864, 'f1-score': 0.4707323755022525, 'support': 535}, 'weighted avg': {'precision': 0.5150447042967559, 'recall': 0.514018691588785, 'f1-score': 0.47271279519248605, 'support': 535}};{'-1': {'precision': 0.5, 'recall': 0.2196969696969697, 'f1-score': 0.30526315789473685, 'support': 264}, '1': {'precision': 0.507177033492823, 'recall': 0.7851851851851852, 'f1-score': 0.6162790697674418, 'support': 270}, 'accuracy': 0.5056179775280899, 'macro avg': {'precision': 0.5035885167464115, 'recall': 0.5024410774410775, 'f1-score': 0.4607711138310894, 'support': 534}, 'weighted avg': {'precision': 0.5036288371592925, 'recall': 0.5056179775280899, 'f1-score': 0.46251839423486857, 'support': 534}};{'-1': {'precision': 0.5169491525423728, 'recall': 0.23106060606060605, 'f1-score': 0.31937172774869105, 'support': 264}, '1': {'precision': 0.5120192307692307, 'recall': 0.7888888888888889, 'f1-score': 0.6209912536443148, 'support': 270}, 'accuracy': 0.5131086142322098, 'macro avg': {'precision': 0.5144841916558018, 'recall': 0.5099747474747475, 'f1-score': 0.47018149069650295, 'support': 534}, 'weighted avg': {'precision': 0.5144564954660651, 'recall': 0.5131086142322098, 'f1-score': 0.4718759824150177, 'support': 534}}
OCSVM_RBF_0.3_scale_;{'-1': {'precision': 0.48823529411764705, 'recall': 0.3143939393939394, 'f1-score': 0.3824884792626728, 'support': 264}, '1': {'precision': 0.5041095890410959, 'recall': 0.6789667896678967, 'f1-score': 0.5786163522012578, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.49617244157937146, 'recall': 0.496680364530918, 'f1-score': 0.48055241573196533, 'support': 535}, 'weighted avg': {'precision': 0.4962762921069081, 'recall': 0.49906542056074765, 'f1-score': 0.4818354952745542, 'support': 535}};{'-1': {'precision': 0.5225806451612903, 'recall': 0.3068181818181818, 'f1-score': 0.3866348448687351, 'support': 264}, '1': {'precision': 0.5184210526315789, 'recall': 0.7269372693726938, 'f1-score': 0.6052227342549924, 'support': 271}, 'accuracy': 0.5196261682242991, 'macro avg': {'precision': 0.5205008488964347, 'recall': 0.5168777255954378, 'f1-score': 0.49592878956186376, 'support': 535}, 'weighted avg': {'precision': 0.520473636608857, 'recall': 0.5196261682242991, 'f1-score': 0.4973588037914935, 'support': 535}};{'-1': {'precision': 0.4911242603550296, 'recall': 0.3143939393939394, 'f1-score': 0.3833718244803695, 'support': 264}, '1': {'precision': 0.505464480874317, 'recall': 0.6826568265682657, 'f1-score': 0.5808477237048665, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.4982943706146733, 'recall': 0.4985253829811025, 'f1-score': 0.482109774092618, 'support': 535}, 'weighted avg': {'precision': 0.49838818514143496, 'recall': 0.5009345794392523, 'f1-score': 0.4834016724987596, 'support': 535}};{'-1': {'precision': 0.48484848484848486, 'recall': 0.30303030303030304, 'f1-score': 0.372960372960373, 'support': 264}, '1': {'precision': 0.5013550135501355, 'recall': 0.6851851851851852, 'f1-score': 0.5790297339593115, 'support': 270}, 'accuracy': 0.49625468164794007, 'macro avg': {'precision': 0.49310174919931016, 'recall': 0.49410774410774416, 'f1-score': 0.4759950534598422, 'support': 534}, 'weighted avg': {'precision': 0.49319448250662284, 'recall': 0.49625468164794007, 'f1-score': 0.47715274649916206, 'support': 534}};{'-1': {'precision': 0.48502994011976047, 'recall': 0.3068181818181818, 'f1-score': 0.37587006960556846, 'support': 264}, '1': {'precision': 0.5013623978201635, 'recall': 0.6814814814814815, 'f1-score': 0.5777080062794347, 'support': 270}, 'accuracy': 0.49625468164794007, 'macro avg': {'precision': 0.493196168969962, 'recall': 0.4941498316498316, 'f1-score': 0.4767890379425016, 'support': 534}, 'weighted avg': {'precision': 0.49328792435030133, 'recall': 0.49625468164794007, 'f1-score': 0.47792295893505143, 'support': 534}}
OCSVM_RBF_0.4_scale_;{'-1': {'precision': 0.5, 'recall': 0.39015151515151514, 'f1-score': 0.4382978723404255, 'support': 264}, '1': {'precision': 0.5106382978723404, 'recall': 0.6199261992619927, 'f1-score': 0.56, 'support': 271}, 'accuracy': 0.5065420560747663, 'macro avg': {'precision': 0.5053191489361701, 'recall': 0.5050388572067539, 'f1-score': 0.4991489361702128, 'support': 535}, 'weighted avg': {'precision': 0.5053887452773911, 'recall': 0.5065420560747663, 'f1-score': 0.49994511831378013, 'support': 535}};{'-1': {'precision': 0.4975845410628019, 'recall': 0.39015151515151514, 'f1-score': 0.43736730360934184, 'support': 264}, '1': {'precision': 0.5091463414634146, 'recall': 0.6162361623616236, 'f1-score': 0.5575959933222037, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.5033654412631083, 'recall': 0.5031938387565693, 'f1-score': 0.49748164846577275, 'support': 535}, 'weighted avg': {'precision': 0.5034410792096543, 'recall': 0.5046728971962616, 'f1-score': 0.4982681912956699, 'support': 535}};{'-1': {'precision': 0.481651376146789, 'recall': 0.3977272727272727, 'f1-score': 0.43568464730290457, 'support': 264}, '1': {'precision': 0.49842271293375395, 'recall': 0.5830258302583026, 'f1-score': 0.5374149659863945, 'support': 271}, 'accuracy': 0.491588785046729, 'macro avg': {'precision': 0.49003704454027147, 'recall': 0.49037655149278764, 'f1-score': 0.48654980664464953, 'support': 535}, 'weighted avg': {'precision': 0.4901467635659806, 'recall': 0.491588785046729, 'f1-score': 0.48721533209398077, 'support': 535}};{'-1': {'precision': 0.4675925925925926, 'recall': 0.38257575757575757, 'f1-score': 0.42083333333333334, 'support': 264}, '1': {'precision': 0.48742138364779874, 'recall': 0.5740740740740741, 'f1-score': 0.5272108843537415, 'support': 270}, 'accuracy': 0.4794007490636704, 'macro avg': {'precision': 0.47750698812019565, 'recall': 0.4783249158249158, 'f1-score': 0.47402210884353746, 'support': 534}, 'weighted avg': {'precision': 0.47761838582275307, 'recall': 0.4794007490636704, 'f1-score': 0.4746197355346633, 'support': 534}};{'-1': {'precision': 0.46511627906976744, 'recall': 0.3787878787878788, 'f1-score': 0.41753653444676403, 'support': 264}, '1': {'precision': 0.48589341692789967, 'recall': 0.5740740740740741, 'f1-score': 0.5263157894736842, 'support': 270}, 'accuracy': 0.47752808988764045, 'macro avg': {'precision': 0.4755048479988335, 'recall': 0.4764309764309764, 'f1-score': 0.4719261619602241, 'support': 534}, 'weighted avg': {'precision': 0.4756215734924186, 'recall': 0.47752808988764045, 'f1-score': 0.4725372813704877, 'support': 534}}
OCSVM_RBF_0.5_scale_;{'-1': {'precision': 0.4774436090225564, 'recall': 0.4810606060606061, 'f1-score': 0.479245283018868, 'support': 264}, '1': {'precision': 0.49070631970260226, 'recall': 0.4870848708487085, 'f1-score': 0.4888888888888889, 'support': 271}, 'accuracy': 0.48411214953271026, 'macro avg': {'precision': 0.48407496436257935, 'recall': 0.48407273845465726, 'f1-score': 0.48406708595387843, 'support': 535}, 'weighted avg': {'precision': 0.48416172975955163, 'recall': 0.48411214953271026, 'f1-score': 0.484130174964243, 'support': 535}};{'-1': {'precision': 0.4900398406374502, 'recall': 0.4659090909090909, 'f1-score': 0.4776699029126214, 'support': 264}, '1': {'precision': 0.5035211267605634, 'recall': 0.5276752767527675, 'f1-score': 0.5153153153153154, 'support': 271}, 'accuracy': 0.497196261682243, 'macro avg': {'precision': 0.4967804836990068, 'recall': 0.49679218383092916, 'f1-score': 0.4964926091139684, 'support': 535}, 'weighted avg': {'precision': 0.4968686790287841, 'recall': 0.497196261682243, 'f1-score': 0.4967388875128646, 'support': 535}};{'-1': {'precision': 0.4770992366412214, 'recall': 0.4734848484848485, 'f1-score': 0.47528517110266166, 'support': 264}, '1': {'precision': 0.4908424908424908, 'recall': 0.4944649446494465, 'f1-score': 0.4926470588235294, 'support': 271}, 'accuracy': 0.48411214953271026, 'macro avg': {'precision': 0.4839708637418561, 'recall': 0.48397489656714754, 'f1-score': 0.4839661149630955, 'support': 535}, 'weighted avg': {'precision': 0.4840607728814906, 'recall': 0.48411214953271026, 'f1-score': 0.4840796974061292, 'support': 535}};{'-1': {'precision': 0.4774436090225564, 'recall': 0.4810606060606061, 'f1-score': 0.479245283018868, 'support': 264}, '1': {'precision': 0.48880597014925375, 'recall': 0.48518518518518516, 'f1-score': 0.48698884758364314, 'support': 270}, 'accuracy': 0.48314606741573035, 'macro avg': {'precision': 0.4831247895859051, 'recall': 0.4831228956228956, 'f1-score': 0.48311706530125553, 'support': 534}, 'weighted avg': {'precision': 0.48318862307538096, 'recall': 0.48314606741573035, 'f1-score': 0.4831605684729678, 'support': 534}};{'-1': {'precision': 0.4716981132075472, 'recall': 0.4734848484848485, 'f1-score': 0.4725897920604915, 'support': 264}, '1': {'precision': 0.483271375464684, 'recall': 0.48148148148148145, 'f1-score': 0.48237476808905383, 'support': 270}, 'accuracy': 0.47752808988764045, 'macro avg': {'precision': 0.4774847443361156, 'recall': 0.477483164983165, 'f1-score': 0.47748228007477267, 'support': 534}, 'weighted avg': {'precision': 0.4775497626634028, 'recall': 0.47752808988764045, 'f1-score': 0.477537251850214, 'support': 534}}
